word_form,part_of_speech,lemgram,compound,raw_frequency,relative_frequency,stem
Banvakterna,NN.UTR.PLU.DEF.NOM,|banvakt..nn.1|,+,1,1.292562,banvakt
knatten,NN.UTR.SIN.DEF.NOM,|knatte..nn.1|,+,1,1.292562,knatte
oframkomliga,JJ.POS.UTR+NEU.PLU.IND+DEF.NOM,|oframkomlig..av.1|,-,1,1.292562,oframkomlig
NOGA,AB,|noga..ab.1|,-,1,1.292562,noga
ulvagapet,NN.NEU.SIN.DEF.NOM,|,-,1,1.292562,
skeva,JJ.POS.UTR+NEU.SIN.DEF.NOM,|skev..av.1|,-,1,1.292562,skev
bortrestas,JJ.POS.UTR+NEU.PLU.IND+DEF.GEN,|bortrest..av.1|,-,1,1.292562,bortrest
anlag,NN.NEU.PLU.IND.NOM,|anlag..nn.1|,+,1,1.292562,anlag
luftstrid,NN.UTR.SIN.IND.NOM,|,+,1,1.292562,
motstrategi,NN.UTR.SIN.IND.NOM,|,+,1,1.292562,
präntade,PC.PRF.UTR+NEU.SIN.DEF.NOM,|pränta..vb.1|,-,1,1.292562,pränta
och,KN,|och..kn.1|till_och_från..abm.1|,-,1,1.292562,och
vinkande,PC.PRS.UTR+NEU.SIN+PLU.IND+DEF.NOM,|vinka..vb.1|,-,1,1.292562,vinka
nordliga,JJ.POS.UTR+NEU.SIN.DEF.NOM,|nordlig..av.1|,-,1,1.292562,nordlig
oaktsamhet,NN.UTR.SIN.IND.NOM,|oaktsamhet..nn.1|,-,1,1.292562,oaktsamhet
tack,IN,|tack..in.1|tack_vare..ppm.1|,-,1,1.292562,tack
anfallen,PC.PRF.UTR.SIN.IND.NOM,|anfalla..vb.1|,+,1,1.292562,anfalla
för,PP,|för..pp.1|för_evigt..abm.1|,-,1,1.292562,för
sjuttioårsåldern,NN.UTR.SIN.DEF.NOM,|sjuttioårsålder..nn.1|,+,1,1.292562,sjuttioårsålder
missbrukar,VB.PRS.AKT,|missbruka..vb.1|,+,1,1.292562,missbruka
navigationskunnig,JJ.POS.UTR.SIN.IND.NOM,|,+,1,1.292562,
sssnaskiga,JJ.POS.UTR+NEU.PLU.IND+DEF.NOM,|,-,1,1.292562,
familjerätt,NN.UTR.SIN.IND.NOM,|familjerätt..nn.1|,+,1,1.292562,familjerätt
förhörts,VB.SUP.SFO,|förhöra..vb.1|,+,1,1.292562,förhöra
Söderberget,PM.NOM,|,-,1,1.292562,
upprullande,NN.NEU.SIN.IND.NOM,|upprullande..nn.1|,+,1,1.292562,upprullande
fastighetsägare,NN.UTR.PLU.IND.NOM,|fastighetsägare..nn.1|,+,1,1.292562,fastighetsägare
transport,NN.UTR.SIN.IND.NOM,|transport..nn.1|,+,1,1.292562,transport
stick,NN.NEU.SIN.IND.NOM,|stick..nn.1|stick_i_stäv..abm.1|,-,1,1.292562,stick
nedrasad,PC.PRF.UTR.SIN.IND.NOM,|,-,1,1.292562,
blindbockslek,NN.UTR.SIN.IND.NOM,|,+,1,1.292562,
lärorik,JJ.POS.UTR.SIN.IND.NOM,|lärorik..av.1|,+,1,1.292562,lärorik
fördolda,PC.PRF.UTR+NEU.SIN.DEF.NOM,|fördölja..vb.1|fördold..av.1|i_det_fördolda..abm.1|,+,1,1.292562,fördölja
sträckt,VB.SUP.AKT,|sträcka..vb.1|,-,1,1.292562,sträcka
torvhögar,NN.UTR.PLU.IND.NOM,|,+,1,1.292562,
ugglans,NN.UTR.SIN.DEF.GEN,|uggla..nn.1|,-,1,1.292562,uggla
praktiserat,VB.SUP.AKT,|praktisera..vb.1|,-,1,1.292562,praktisera
par.dar,VB.PRS.AKT,|,-,1,1.292562,
skurar,VB.PRS.AKT,|skura..vb.1|,-,1,1.292562,skura
140000,RG.NOM,|,-,1,1.292562,
Bergssluttningarna,NN.UTR.PLU.DEF.NOM,|bergssluttning..nn.1|,+,1,1.292562,bergssluttning
samlas,VB.INF.SFO,|samlas..vb.1|samla..vb.2|samla..vb.1|samla_ihop..vbm.1|,+,1,1.292562,samlas
kommandobyggnad,NN.UTR.SIN.IND.NOM,|,+,1,1.292562,
MÅNDAGEN,PM.NOM,|,-,1,1.292562,
tidigaste,JJ.SUV.UTR+NEU.SIN+PLU.DEF.NOM,|tidig..av.1|,-,1,1.292562,tidig
enformighet,NN.UTR.SIN.IND.NOM,|enformighet..nn.1|,-,1,1.292562,enformighet
Palestina,PM.NOM,|Palestina..pm.1|,-,1,1.292562,Palestina
glåporden,NN.NEU.PLU.DEF.NOM,|glåpord..nn.1|,-,1,1.292562,glåpord
slog,VB.PRT.AKT,|slå..vb.1|slå_bort..vbm.1|,-,1,1.292562,slå
Hogland,PM.NOM,|,-,1,1.292562,
vänsterradikalism,NN.UTR.SIN.IND.NOM,|,+,1,1.292562,
päronskrottar,PM.NOM,|,-,1,1.292562,
klyftorna,NN.UTR.PLU.DEF.NOM,|klyfta..nn.1|,-,1,1.292562,klyfta
Pressklipp,NN.NEU.PLU.IND.NOM,|,+,1,1.292562,
debiterats,VB.SUP.SFO,|debitera..vb.1|,-,1,1.292562,debitera
AS,NN.UTR.SIN.DEF.NOM,|as..nn.2|as..nn.1|,-,1,1.292562,as
korvkiosken,NN.UTR.SIN.DEF.NOM,|korvkiosk..nn.1|,+,1,1.292562,korvkiosk
dyiga,JJ.POS.UTR+NEU.SIN.DEF.NOM,|dyig..av.1|,-,1,1.292562,dyig
börja,VB.PRS.AKT,|börja..vb.2|börja..vb.1|,-,1,1.292562,börja
manus,NN.NEU.SIN.IND.NOM,|manus..nn.1|,-,1,1.292562,manus
<mikael.blomkvist@millennium.se>,NN.UTR.SIN.IND.NOM,|,-,1,1.292562,
återutgiven,PC.PRF.UTR.SIN.IND.NOM,|,+,1,1.292562,
lossnat,VB.SUP.AKT,|lossna..vb.1|,-,1,1.292562,lossna
salvan,NN.UTR.SIN.DEF.NOM,|salva..nn.1|,+,1,1.292562,salva
radiopolisen,NN.UTR.SIN.DEF.NOM,|,+,1,1.292562,
matlagare,JJ.KOM.UTR+NEU.SIN+PLU.IND+DEF.NOM,|,-,1,1.292562,
prästgårdar,NN.UTR.PLU.IND.NOM,|prästgård..nn.1|,+,1,1.292562,prästgård
skeppssidorna,NN.UTR.PLU.DEF.NOM,|,+,1,1.292562,
ohederlig,JJ.POS.UTR.SIN.IND.NOM,|ohederlig..av.1|,-,1,1.292562,ohederlig
LJUGIT,PM.NOM,|,-,1,1.292562,
släpp,VB.IMP.AKT,|släppa..vb.1|släppa_ut..vbm.1|,-,1,1.292562,släppa
hukad,PC.PRF.UTR.SIN.IND.NOM,|,-,1,1.292562,
Haarlem,PM.NOM,|,-,1,1.292562,
ta,VB.INF.AKT,|ta..vb.1|ta_i_beslag..vbm.1|,-,1,1.292562,ta
ryslige,JJ.POS.MAS.SIN.DEF.NOM,|ryslig..av.1|,-,1,1.292562,ryslig
fredstecken,NN.NEU.SIN.IND.NOM,|,+,1,1.292562,
blyertsbrev,NN.NEU.SIN.IND.NOM,|,+,1,1.292562,
kanonbra,JJ.POS.UTR+NEU.PLU.IND+DEF.NOM,|kanonbra..av.1|,+,1,1.292562,kanonbra
kolarna,NN.UTR.PLU.DEF.NOM,|kolare..nn.1|,-,1,1.292562,kolare
nattsäck,NN.UTR.SIN.IND.NOM,|nattsäck..nn.1|,+,1,1.292562,nattsäck
knipa,NN.UTR.SIN.IND.NOM,|knipa..nn.1|i_knipa..abm.1|,-,1,1.292562,knipa
Mauthausen,PM.NOM,|,-,1,1.292562,
godkänner,VB.PRS.AKT,|godkänna..vb.1|,+,1,1.292562,godkänna
TAR,PM.NOM,|,-,1,1.292562,
här,NN.UTR.SIN.IND.NOM,|här..nn.1|,-,1,1.292562,här
Koncernchefen,NN.UTR.SIN.DEF.NOM,|koncernchef..nn.1|,+,1,1.292562,koncernchef
förvildad,PC.PRF.UTR.SIN.IND.NOM,|förvildad..av.1|,-,1,1.292562,förvildad
utplundrat,VB.SUP.AKT,|utplundra..vb.1|,+,1,1.292562,utplundra
undergrävda,PC.PRF.UTR+NEU.SIN.DEF.NOM,|undergräva..vb.1|,+,1,1.292562,undergräva
1839,RG.NOM,|,-,1,1.292562,
SER,VB.PRS.AKT,|se..vb.1|se_ut..vbm.1|,-,1,1.292562,se
bankat,VB.SUP.AKT,|banka..vb.1|,-,1,1.292562,banka
laptopvärldens,NN.UTR.SIN.DEF.GEN,|,+,1,1.292562,
sammanmalet,NN.NEU.SIN.DEF.NOM,|,-,1,1.292562,
husrannsakningar,NN.UTR.PLU.IND.NOM,|husrannsakning..nn.1|,+,1,1.292562,husrannsakning
upp,AB,|upp..ab.1|duka_upp..vbm.1|,-,1,1.292562,upp
Jämmer,NN.UTR.SIN.IND.NOM,|jämmer..nn.1|,-,1,1.292562,jämmer
långlovet,NN.NEU.SIN.DEF.NOM,|,+,1,1.292562,
droppade,VB.PRT.AKT,|droppa..vb.2|droppa..vb.1|droppa_in..vbm.1|droppa_in..vbm.2|,-,1,1.292562,droppa
sparkonto,NN.NEU.SIN.IND.NOM,|sparkonto..nn.1|,+,1,1.292562,sparkonto
pestflaggan,NN.UTR.SIN.DEF.NOM,|,+,1,1.292562,
fågelhund,NN.UTR.SIN.IND.NOM,|fågelhund..nn.1|,+,1,1.292562,fågelhund
smutsiga,JJ.POS.UTR+NEU.SIN.DEF.NOM,|smutsig..av.1|,-,1,1.292562,smutsig
omsvepta,PC.PRF.UTR+NEU.PLU.IND+DEF.NOM,|omsvepa..vb.1|,+,1,1.292562,omsvepa
otursdag,NN.UTR.SIN.IND.NOM,|otursdag..nn.1|,+,1,1.292562,otursdag
innerst,JJ.SUV.UTR+NEU.SIN+PLU.IND.NOM,|,-,1,1.292562,
NEUNE,PM.NOM,|,-,1,1.292562,
dragen,NN.NEU.PLU.DEF.NOM,|drag..nn.1|,-,1,1.292562,drag
mördande,PC.PRS.UTR+NEU.SIN+PLU.IND+DEF.NOM,|mördande..av.1|mörda..vb.1|,-,1,1.292562,mördande
MINDRE,AB.KOM,|liten..av.1|lite..ab.1|föga..ab.1|,-,1,1.292562,liten
enrisbuske,NN.UTR.SIN.IND.NOM,|,+,1,1.292562,
småriset,NN.NEU.SIN.DEF.NOM,|,+,1,1.292562,
pepparkaka,NN.UTR.SIN.IND.NOM,|pepparkaka..nn.1|,+,1,1.292562,pepparkaka
slängande,PC.PRS.UTR+NEU.SIN+PLU.IND+DEF.NOM,|slänga..vb.1|,-,1,1.292562,slänga
påtalat,VB.SUP.AKT,|påtala..vb.1|,+,1,1.292562,påtala
lämningarna,NN.UTR.PLU.DEF.NOM,|lämning..nn.1|,-,1,1.292562,lämning
om,AB,|om..ab.1|halvt_om_halvt..abm.1|,-,1,1.292562,om
dividerande,NN.NEU.SIN.IND.NOM,|dividerande..nn.1|,-,1,1.292562,dividerande
1891,RG.NOM,|,-,1,1.292562,
tillrätta,PL,|tillrätta..ab.1|,+,1,1.292562,tillrätta
omtänksamma,JJ.POS.UTR+NEU.PLU.IND+DEF.NOM,|omtänksam..av.1|,-,1,1.292562,omtänksam
Pas,NN.UTR.SIN.IND.GEN,|Pa..nna.1|,-,1,1.292562,Pa
arbetsdator,NN.UTR.PLU.IND.NOM,|,+,1,1.292562,
