word_form,part_of_speech,lemgram,compound,raw_frequency,relative_frequency
convince,__UNDEF__,__UNDEF__,+,1,1.345377
A.I.A._But,NP,__UNDEF__,+,1,1.345377
teaches,VBZ,__UNDEF__,+,1,1.345377
homespun,VBN,__UNDEF__,+,1,1.345377
alluring,VBG,__UNDEF__,+,1,1.345377
juts,VBZ,__UNDEF__,+,1,1.345377
"right!""",__UNDEF__,__UNDEF__,+,1,1.345377
judgment,__UNDEF__,__UNDEF__,+,1,1.345377
bread-cake,NN,__UNDEF__,+,1,1.345377
"Friday_,_June_12",W,__UNDEF__,+,1,1.345377
special,__UNDEF__,__UNDEF__,+,1,1.345377
"impossible!""",__UNDEF__,__UNDEF__,+,1,1.345377
HOW_DO_I_GO_ABOUT_THISF,NP,__UNDEF__,+,1,1.345377
Office,NN,__UNDEF__,+,1,1.345377
isthmus,NN,__UNDEF__,+,1,1.345377
bumps,VBZ,__UNDEF__,+,1,1.345377
Labor_Exchange,NP,__UNDEF__,+,1,1.345377
STOCKHOLM,NP,__UNDEF__,+,1,1.345377
"I,",__UNDEF__,__UNDEF__,+,1,1.345377
chronology,NN,__UNDEF__,+,1,1.345377
Wasp_Enterprises,NP,__UNDEF__,+,1,1.345377
heroes,__UNDEF__,__UNDEF__,+,1,1.345377
leaks,NNS,__UNDEF__,+,1,1.345377
towelled,VBD,__UNDEF__,+,1,1.345377
Solna,NP,__UNDEF__,+,1,1.345377
pocket-picking,VBG,__UNDEF__,+,1,1.345377
activated,VBN,__UNDEF__,+,1,1.345377
suppose.,__UNDEF__,__UNDEF__,+,1,1.345377
HATED,NP,__UNDEF__,+,1,1.345377
mark,VBP,__UNDEF__,+,1,1.345377
formation,NN,__UNDEF__,+,1,1.345377
ingots,__UNDEF__,__UNDEF__,+,1,1.345377
Fourteenth_of_March,W,__UNDEF__,+,1,1.345377
Reg_Keeland,NP,__UNDEF__,+,1,1.345377
Gotabank,NP,__UNDEF__,+,1,1.345377
Hilda,NP,__UNDEF__,+,1,1.345377
Blue,NP,__UNDEF__,+,1,1.345377
SPLASH,VB,__UNDEF__,+,1,1.345377
racks,VBZ,__UNDEF__,+,1,1.345377
extravagance,NN,__UNDEF__,+,1,1.345377
Western_Wall,NP,__UNDEF__,+,1,1.345377
CHAPTER_III,NP,__UNDEF__,+,1,1.345377
vengeance-thoughts,NNS,__UNDEF__,+,1,1.345377
frost,NN,__UNDEF__,+,1,1.345377
tar,VB,__UNDEF__,+,1,1.345377
puffed,VBN,__UNDEF__,+,1,1.345377
MORNING_IN_ÅNGERMANLAND_THE_BREAD,NP,__UNDEF__,+,1,1.345377
R.J._They,NP,__UNDEF__,+,1,1.345377
"improving,",__UNDEF__,__UNDEF__,+,1,1.345377
Falsterbo,NP,__UNDEF__,+,1,1.345377
upstretched,VBN,__UNDEF__,+,1,1.345377
"Caterpillar,",__UNDEF__,__UNDEF__,+,1,1.345377
cowardly.,__UNDEF__,__UNDEF__,+,1,1.345377
PIM,NP,__UNDEF__,+,1,1.345377
routed,VBD,__UNDEF__,+,1,1.345377
repented,VBD,__UNDEF__,+,1,1.345377
"directly.""",__UNDEF__,__UNDEF__,+,1,1.345377
zigzag,JJ,__UNDEF__,+,1,1.345377
instances,NNS,__UNDEF__,+,1,1.345377
railroad,NN,__UNDEF__,+,1,1.345377
redhead,NN,__UNDEF__,+,1,1.345377
COTTLESTON_PIE,NP,__UNDEF__,+,1,1.345377
Creak,NN,__UNDEF__,+,1,1.345377
curves,NNS,__UNDEF__,+,1,1.345377
half-charred,VBN,__UNDEF__,+,1,1.345377
Annika_NEVER,NP,__UNDEF__,+,1,1.345377
hedged,VBN,__UNDEF__,+,1,1.345377
Agnes_Kingworth,NP,__UNDEF__,+,1,1.345377
Eve,NP,__UNDEF__,+,1,1.345377
freshened,VBD,__UNDEF__,+,1,1.345377
festivals,NNS,__UNDEF__,+,1,1.345377
mouse-holes,NNS,__UNDEF__,+,1,1.345377
eggshell,NN,__UNDEF__,+,1,1.345377
personalities,NNS,__UNDEF__,+,1,1.345377
towered,VBD,__UNDEF__,+,1,1.345377
uncared,JJ,__UNDEF__,+,1,1.345377
Main,JJ,__UNDEF__,+,1,1.345377
astrophysics,NN,__UNDEF__,+,1,1.345377
suns,NNS,__UNDEF__,+,1,1.345377
presto,NN,__UNDEF__,+,1,1.345377
deliberate,VB,__UNDEF__,+,1,1.345377
breakfasting,VBG,__UNDEF__,+,1,1.345377
ultimately,__UNDEF__,__UNDEF__,+,1,1.345377
catalog,NN,__UNDEF__,+,1,1.345377
"safe!""",__UNDEF__,__UNDEF__,+,1,1.345377
Family,NN,__UNDEF__,+,1,1.345377
Scanpix,NP,__UNDEF__,+,1,1.345377
www.ibrium.se,NN,__UNDEF__,+,1,1.345377
strings,NNS,__UNDEF__,+,1,1.345377
bother,VBP,__UNDEF__,+,1,1.345377
straightaway,RB,__UNDEF__,+,1,1.345377
safekeeping,NN,__UNDEF__,+,1,1.345377
cottage-door,NN,__UNDEF__,+,1,1.345377
scrapbooks,NNS,__UNDEF__,+,1,1.345377
corrupt,VB,__UNDEF__,+,1,1.345377
Bright,JJ,__UNDEF__,+,1,1.345377
"worn,",__UNDEF__,__UNDEF__,+,1,1.345377
Riddarfjärden,NP,__UNDEF__,+,1,1.345377
dwarf-lord,NN,__UNDEF__,+,1,1.345377
routinely,RB,__UNDEF__,+,1,1.345377
"FRIDAY_,_AUGUST_14_,_1942",W,__UNDEF__,+,1,1.345377
"shall,""",__UNDEF__,__UNDEF__,+,1,1.345377
style,__UNDEF__,__UNDEF__,+,1,1.345377
attempt.,__UNDEF__,__UNDEF__,+,1,1.345377
V.,IN,__UNDEF__,+,1,1.345377
witticisms,NNS,__UNDEF__,+,1,1.345377
double,__UNDEF__,__UNDEF__,+,1,1.345377
months.,__UNDEF__,__UNDEF__,+,1,1.345377
aslant,NN,__UNDEF__,+,1,1.345377
fancies,NNS,__UNDEF__,+,1,1.345377
VERY_GOOD-LOOKING_MAN,NP,__UNDEF__,+,1,1.345377
Charlotte_of_the_Palatine,NP,__UNDEF__,+,1,1.345377
rack,NN,__UNDEF__,+,1,1.345377
notifying,VBG,__UNDEF__,+,1,1.345377
foxhound,NN,__UNDEF__,+,1,1.345377
Reformation_'s_Bible,NP,__UNDEF__,+,1,1.345377
Froken_Blomberg,NP,__UNDEF__,+,1,1.345377
dice,NN,__UNDEF__,+,1,1.345377
accepted,__UNDEF__,__UNDEF__,+,1,1.345377
disquieting,VBG,__UNDEF__,+,1,1.345377
quote,__UNDEF__,__UNDEF__,+,1,1.345377
O.K._Up,NP,__UNDEF__,+,1,1.345377
specialist,NN,__UNDEF__,+,1,1.345377
grandest,JJS,__UNDEF__,+,1,1.345377
PERSONAL_TRAGEDY,NP,__UNDEF__,+,1,1.345377
lesbian,NN,__UNDEF__,+,1,1.345377
"his,",__UNDEF__,__UNDEF__,+,1,1.345377
courteous,JJ,__UNDEF__,+,1,1.345377
Act,NN,__UNDEF__,+,1,1.345377
soggy,JJ,__UNDEF__,+,1,1.345377
smallpox,NN,__UNDEF__,+,1,1.345377
11vii,Z,__UNDEF__,+,1,1.345377
reportedly,__UNDEF__,__UNDEF__,+,1,1.345377
cavalcade,NN,__UNDEF__,+,1,1.345377
squabble,NN,__UNDEF__,+,1,1.345377
grain-field,NN,__UNDEF__,+,1,1.345377
experience,VB,__UNDEF__,+,1,1.345377
courting,VBG,__UNDEF__,+,1,1.345377
AND_LITTLE_MATS,NP,__UNDEF__,+,1,1.345377
dwarfs,NNS,__UNDEF__,+,1,1.345377
physical,__UNDEF__,__UNDEF__,+,1,1.345377
juggle,VBP,__UNDEF__,+,1,1.345377
framework,NN,__UNDEF__,+,1,1.345377
peat,NN,__UNDEF__,+,1,1.345377
stuffs,VBZ,__UNDEF__,+,1,1.345377
rampant,JJ,__UNDEF__,+,1,1.345377
Miss_Quack,NP,__UNDEF__,+,1,1.345377
"tension,",__UNDEF__,__UNDEF__,+,1,1.345377
Luckwearer,NP,__UNDEF__,+,1,1.345377
"word,",__UNDEF__,__UNDEF__,+,1,1.345377
beech-coppice,NN,__UNDEF__,+,1,1.345377
so's,__UNDEF__,__UNDEF__,+,1,1.345377
O.K._And_I,NP,__UNDEF__,+,1,1.345377
squealed,VBD,__UNDEF__,+,1,1.345377
loped,VBN,__UNDEF__,+,1,1.345377
tallied,VBD,__UNDEF__,+,1,1.345377
"else?""",__UNDEF__,__UNDEF__,+,1,1.345377
"there!""",__UNDEF__,__UNDEF__,+,1,1.345377
pitied,VBN,__UNDEF__,+,1,1.345377
"foot,",__UNDEF__,__UNDEF__,+,1,1.345377
leans,VBZ,__UNDEF__,+,1,1.345377
Hostile_Intent,NP,__UNDEF__,+,1,1.345377
pranks,NNS,__UNDEF__,+,1,1.345377
lanes,NNS,__UNDEF__,+,1,1.345377
mothproofed,VBN,__UNDEF__,+,1,1.345377
FIRST,NP,__UNDEF__,+,1,1.345377
pack,VBP,__UNDEF__,+,1,1.345377
undervalue,VB,__UNDEF__,+,1,1.345377
skewer,NN,__UNDEF__,+,1,1.345377
HE_COULD_HAVE_BROUGHT_THE_CAT_DOWN_HERE,NP,__UNDEF__,+,1,1.345377
drugstore,NN,__UNDEF__,+,1,1.345377
Rauter,NP,__UNDEF__,+,1,1.345377
muddled,VBN,__UNDEF__,+,1,1.345377
Boulogne,NP,__UNDEF__,+,1,1.345377
Operations,NNS,__UNDEF__,+,1,1.345377
island-boats,NNS,__UNDEF__,+,1,1.345377
I_BEG,NP,__UNDEF__,+,1,1.345377
Outside_of,IN,__UNDEF__,+,1,1.345377
waver,VB,__UNDEF__,+,1,1.345377
75,Z,__UNDEF__,+,1,1.345377
bedtime,NN,__UNDEF__,+,1,1.345377
forgot,__UNDEF__,__UNDEF__,+,1,1.345377
old-,__UNDEF__,__UNDEF__,+,1,1.345377
Java,NP,__UNDEF__,+,1,1.345377
packaged,VBN,__UNDEF__,+,1,1.345377
HAD_NOT_SEEN_HER_SINCE_THE_ACCIDENT_ON_THE_BRIDGE_OCCURRED_AND_HE_HAD_NO_KNOWLEDGE_OF_WHERE_SHE_MIGHT_BE_AT_PRESENT,NP,__UNDEF__,+,1,1.345377
hypersensitive,__UNDEF__,__UNDEF__,+,1,1.345377
moan,__UNDEF__,__UNDEF__,+,1,1.345377
Arrows,NNS,__UNDEF__,+,1,1.345377
Protestant_Church,NP,__UNDEF__,+,1,1.345377
issue,__UNDEF__,__UNDEF__,+,1,1.345377
outermost,JJ,__UNDEF__,+,1,1.345377
SURE_I,NP,__UNDEF__,+,1,1.345377
skating,VBG,__UNDEF__,+,1,1.345377
forbear,VB,__UNDEF__,+,1,1.345377
mountain-stream,NN,__UNDEF__,+,1,1.345377
HE_WAS_HUNGRY,NP,__UNDEF__,+,1,1.345377
Vaststan,NP,__UNDEF__,+,1,1.345377
beam-ends,NNS,__UNDEF__,+,1,1.345377
terms,__UNDEF__,__UNDEF__,+,1,1.345377
subsequently,RB,__UNDEF__,+,1,1.345377
asylum,NN,__UNDEF__,+,1,1.345377
missing-person,NN,__UNDEF__,+,1,1.345377
unpleasantness,NN,__UNDEF__,+,1,1.345377
shades,NNS,__UNDEF__,+,1,1.345377
tickles,VBZ,__UNDEF__,+,1,1.345377
trait,__UNDEF__,__UNDEF__,+,1,1.345377
Horrible_Heffalump,NP,__UNDEF__,+,1,1.345377
slipped,__UNDEF__,__UNDEF__,+,1,1.345377
A.B.B._The,NP,__UNDEF__,+,1,1.345377
17.iii,Z,__UNDEF__,+,1,1.345377
altitude,NN,__UNDEF__,+,1,1.345377
Hot,JJ,__UNDEF__,+,1,1.345377
gleamed,VBN,__UNDEF__,+,1,1.345377
Crown_Prince_Baudouin_of_Belgium,NP,__UNDEF__,+,1,1.345377
Questions,NNS,__UNDEF__,+,1,1.345377
trampling,VBG,__UNDEF__,+,1,1.345377
sixty,DT,__UNDEF__,+,1,1.345377
mom,NN,__UNDEF__,+,1,1.345377
wood-pigeons,NNS,__UNDEF__,+,1,1.345377
duffel,NN,__UNDEF__,+,1,1.345377
finds,__UNDEF__,__UNDEF__,+,1,1.345377
oak-trunk,NN,__UNDEF__,+,1,1.345377
psychologists,NNS,__UNDEF__,+,1,1.345377
PRASENTIVMITTELN,NP,__UNDEF__,+,1,1.345377
statistics,NNS,__UNDEF__,+,1,1.345377
locomotives,NNS,__UNDEF__,+,1,1.345377
Despair,NP,__UNDEF__,+,1,1.345377
1865,Z,__UNDEF__,+,1,1.345377
dim,VBP,__UNDEF__,+,1,1.345377
"""No,""",__UNDEF__,__UNDEF__,+,1,1.345377
pilgrimages,NNS,__UNDEF__,+,1,1.345377
ACCEPTED,__UNDEF__,__UNDEF__,+,1,1.345377
fry,VBP,__UNDEF__,+,1,1.345377
"blue,",__UNDEF__,__UNDEF__,+,1,1.345377
stockroom,NN,__UNDEF__,+,1,1.345377
jack-tars,NNS,__UNDEF__,+,1,1.345377
I_TOLD,NP,__UNDEF__,+,1,1.345377
be?,__UNDEF__,__UNDEF__,+,1,1.345377
Unafraid,JJ,__UNDEF__,+,1,1.345377
heffalumping,VBG,__UNDEF__,+,1,1.345377
THE_LIVING_CITY,NP,__UNDEF__,+,1,1.345377
"village.""",__UNDEF__,__UNDEF__,+,1,1.345377
WEEK,NP,__UNDEF__,+,1,1.345377
Armenian_Jew,NP,__UNDEF__,+,1,1.345377
war?,__UNDEF__,__UNDEF__,+,1,1.345377
farm-hands,NNS,__UNDEF__,+,1,1.345377
fingered,VBN,__UNDEF__,+,1,1.345377
stand.,__UNDEF__,__UNDEF__,+,1,1.345377
harts,NNS,__UNDEF__,+,1,1.345377
continue,__UNDEF__,__UNDEF__,+,1,1.345377
brocades,NNS,__UNDEF__,+,1,1.345377
unlearned,VBN,__UNDEF__,+,1,1.345377
nicknames,NNS,__UNDEF__,+,1,1.345377
mystifying,VBG,__UNDEF__,+,1,1.345377
goblin-tunnels,NNS,__UNDEF__,+,1,1.345377
women's,__UNDEF__,__UNDEF__,+,1,1.345377
Remove,VB,__UNDEF__,+,1,1.345377
Dragon-fire,NN,__UNDEF__,+,1,1.345377
circuitous,JJ,__UNDEF__,+,1,1.345377
commissioned,VBN,__UNDEF__,+,1,1.345377
pathless,JJ,__UNDEF__,+,1,1.345377
6.30,Z,__UNDEF__,+,1,1.345377
proceeds,NNS,__UNDEF__,+,1,1.345377
HAS,NP,__UNDEF__,+,1,1.345377
job.,__UNDEF__,__UNDEF__,+,1,1.345377
Discoverer,NP,__UNDEF__,+,1,1.345377
Ahhh,NP,__UNDEF__,+,1,1.345377
birdhouse,NN,__UNDEF__,+,1,1.345377
uniforms,NNS,__UNDEF__,+,1,1.345377
tearfully,__UNDEF__,__UNDEF__,+,1,1.345377
search.,__UNDEF__,__UNDEF__,+,1,1.345377
gentleness,NN,__UNDEF__,+,1,1.345377
VAGRANTS,NP,__UNDEF__,+,1,1.345377
square-shaped,VBD,__UNDEF__,+,1,1.345377
clamber,VBP,__UNDEF__,+,1,1.345377
mamma,NN,__UNDEF__,+,1,1.345377
girdle,NN,__UNDEF__,+,1,1.345377
STRANGE_GIRL,NP,__UNDEF__,+,1,1.345377
pun,NN,__UNDEF__,+,1,1.345377
index,__UNDEF__,__UNDEF__,+,1,1.345377
ANITA_VANGER,NP,__UNDEF__,+,1,1.345377
hopping,VBG,__UNDEF__,+,1,1.345377
money-counters,NNS,__UNDEF__,+,1,1.345377
disloyal,JJ,__UNDEF__,+,1,1.345377
tussle,NN,__UNDEF__,+,1,1.345377
Friends,NNS,__UNDEF__,+,1,1.345377
DIFFICULTY_IN_COOPERATING,NP,__UNDEF__,+,1,1.345377
Lands,NP,__UNDEF__,+,1,1.345377
tulip-roots,NNS,__UNDEF__,+,1,1.345377
insides,NNS,__UNDEF__,+,1,1.345377
bids,VBZ,__UNDEF__,+,1,1.345377
chaste,JJ,__UNDEF__,+,1,1.345377
beholds,VBZ,__UNDEF__,+,1,1.345377
King_Bladorthin,NP,__UNDEF__,+,1,1.345377
"then,""",__UNDEF__,__UNDEF__,+,1,1.345377
Billy_'s_Pan_Pizza,NP,__UNDEF__,+,1,1.345377
"LAST_Tuesday_,_November_eighth",W,__UNDEF__,+,1,1.345377
watch-fires,NNS,__UNDEF__,+,1,1.345377
KARLSON_GETS_UP_TO_SOME_JIGGERY-POKERY,NP,__UNDEF__,+,1,1.345377
planed,VBD,__UNDEF__,+,1,1.345377
35,Z,__UNDEF__,+,1,1.345377
prevents,VBZ,__UNDEF__,+,1,1.345377
Good_Thing,NP,__UNDEF__,+,1,1.345377
five_o'clock_on_Tuesday,W,__UNDEF__,+,1,1.345377
neck-piece,NN,__UNDEF__,+,1,1.345377
icicles,NNS,__UNDEF__,+,1,1.345377
pigeon-holed,VBN,__UNDEF__,+,1,1.345377
Lord_Smaug_the_Impenetrable,NP,__UNDEF__,+,1,1.345377
"minds,",__UNDEF__,__UNDEF__,+,1,1.345377
curtains,VBZ,__UNDEF__,+,1,1.345377
angle,VBP,__UNDEF__,+,1,1.345377
jabbering,VBG,__UNDEF__,+,1,1.345377
taxpayers,NNS,__UNDEF__,+,1,1.345377
grandchild,NN,__UNDEF__,+,1,1.345377
forlornly,RB,__UNDEF__,+,1,1.345377
broom,__UNDEF__,__UNDEF__,+,1,1.345377
Badoglio,NP,__UNDEF__,+,1,1.345377
centre,__UNDEF__,__UNDEF__,+,1,1.345377
war.,__UNDEF__,__UNDEF__,+,1,1.345377
intertwined,VBN,__UNDEF__,+,1,1.345377
tippet,NN,__UNDEF__,+,1,1.345377
prospective,JJ,__UNDEF__,+,1,1.345377
canal-banks,NNS,__UNDEF__,+,1,1.345377
"SUNDAY_,_MARCH_12_,_1944",W,__UNDEF__,+,1,1.345377
"Pathetic.""",__UNDEF__,__UNDEF__,+,1,1.345377
"break-in!""",__UNDEF__,__UNDEF__,+,1,1.345377
ways,__UNDEF__,__UNDEF__,+,1,1.345377
onion,NN,__UNDEF__,+,1,1.345377
window-niches,NNS,__UNDEF__,+,1,1.345377
cannibals,NNS,__UNDEF__,+,1,1.345377
discerning,VBG,__UNDEF__,+,1,1.345377
brutal,__UNDEF__,__UNDEF__,+,1,1.345377
overload,VB,__UNDEF__,+,1,1.345377
"""Harriet",__UNDEF__,__UNDEF__,+,1,1.345377
computer.,__UNDEF__,__UNDEF__,+,1,1.345377
Museum,NP,__UNDEF__,+,1,1.345377
logbook,NN,__UNDEF__,+,1,1.345377
BE,__UNDEF__,__UNDEF__,+,1,1.345377
LA,NP,__UNDEF__,+,1,1.345377
fiasco,NN,__UNDEF__,+,1,1.345377
quintessence,NN,__UNDEF__,+,1,1.345377
roguish,JJ,__UNDEF__,+,1,1.345377
digressions,NNS,__UNDEF__,+,1,1.345377
admittedly,RB,__UNDEF__,+,1,1.345377
quarrels,VBZ,__UNDEF__,+,1,1.345377
transport,VB,__UNDEF__,+,1,1.345377
clipping,NN,__UNDEF__,+,1,1.345377
spasmodically,RB,__UNDEF__,+,1,1.345377
R.J._He,NP,__UNDEF__,+,1,1.345377
differently,__UNDEF__,__UNDEF__,+,1,1.345377
"FRIDAY_,_NOVEMBER_20_,_1942",W,__UNDEF__,+,1,1.345377
web-cutter,NN,__UNDEF__,+,1,1.345377
stay-at-homes,NNS,__UNDEF__,+,1,1.345377
treading,VBG,__UNDEF__,+,1,1.345377
title,__UNDEF__,__UNDEF__,+,1,1.345377
noise-works,NNS,__UNDEF__,+,1,1.345377
here's,__UNDEF__,__UNDEF__,+,1,1.345377
drinking,__UNDEF__,__UNDEF__,+,1,1.345377
contemptible,JJ,__UNDEF__,+,1,1.345377
fronds,NNS,__UNDEF__,+,1,1.345377
weighed,VBN,__UNDEF__,+,1,1.345377
pastimes,NNS,__UNDEF__,+,1,1.345377
meaningfully,RB,__UNDEF__,+,1,1.345377
BINGO.,__UNDEF__,__UNDEF__,+,1,1.345377
ten.,__UNDEF__,__UNDEF__,+,1,1.345377
briefing,NN,__UNDEF__,+,1,1.345377
"Ellen,",__UNDEF__,__UNDEF__,+,1,1.345377
frog.,__UNDEF__,__UNDEF__,+,1,1.345377
drivel,NN,__UNDEF__,+,1,1.345377
resisted,VBD,__UNDEF__,+,1,1.345377
realistically,RB,__UNDEF__,+,1,1.345377
typhus,NN,__UNDEF__,+,1,1.345377
two_o'clock_on_Saturday,W,__UNDEF__,+,1,1.345377
1991,W,__UNDEF__,+,1,1.345377
deepening,VBG,__UNDEF__,+,1,1.345377
preach,VB,__UNDEF__,+,1,1.345377
Explorer,NP,__UNDEF__,+,1,1.345377
Majesty,__UNDEF__,__UNDEF__,+,1,1.345377
"bombs,",__UNDEF__,__UNDEF__,+,1,1.345377
scandals,NNS,__UNDEF__,+,1,1.345377
orphans,NNS,__UNDEF__,+,1,1.345377
grin,VB,__UNDEF__,+,1,1.345377
fervently,RB,__UNDEF__,+,1,1.345377
hillsides,NNS,__UNDEF__,+,1,1.345377
analysed,VBN,__UNDEF__,+,1,1.345377
250,Z,__UNDEF__,+,1,1.345377
payments,NNS,__UNDEF__,+,1,1.345377
"MONDAY_,_JANUARY_24_,_1944",W,__UNDEF__,+,1,1.345377
peer,NN,__UNDEF__,+,1,1.345377
reconciliation.,__UNDEF__,__UNDEF__,+,1,1.345377
proffer,VB,__UNDEF__,+,1,1.345377
Mystery,NN,__UNDEF__,+,1,1.345377
Forest,NN,__UNDEF__,+,1,1.345377
250_metres,Zu,__UNDEF__,+,1,1.345377
reddish,JJ,__UNDEF__,+,1,1.345377
sixty_million,Z,__UNDEF__,+,1,1.345377
two-year,NN,__UNDEF__,+,1,1.345377
marrow,NN,__UNDEF__,+,1,1.345377
undeveloped,JJ,__UNDEF__,+,1,1.345377
feasters,NNS,__UNDEF__,+,1,1.345377
N.E.B._Steel-rimmed,NP,__UNDEF__,+,1,1.345377
horizontally,RB,__UNDEF__,+,1,1.345377
magnanimous,JJ,__UNDEF__,+,1,1.345377
eased,VBN,__UNDEF__,+,1,1.345377
kidneys,__UNDEF__,__UNDEF__,+,1,1.345377
sissing,VBG,__UNDEF__,+,1,1.345377
seafowl,NN,__UNDEF__,+,1,1.345377
female,NN,__UNDEF__,+,1,1.345377
"Sourabaya,",__UNDEF__,__UNDEF__,+,1,1.345377
02950,Z,__UNDEF__,+,1,1.345377
immovably,RB,__UNDEF__,+,1,1.345377
"with.""",__UNDEF__,__UNDEF__,+,1,1.345377
fore-paws,NNS,__UNDEF__,+,1,1.345377
LITTLE_KARL_'S_ISLAND_THE_STORM,NP,__UNDEF__,+,1,1.345377
superoptimists,__UNDEF__,__UNDEF__,+,1,1.345377
formulae,NNS,__UNDEF__,+,1,1.345377
snared,VBN,__UNDEF__,+,1,1.345377
Bless,__UNDEF__,__UNDEF__,+,1,1.345377
weathervane,NN,__UNDEF__,+,1,1.345377
STOLEN,NP,__UNDEF__,+,1,1.345377
optimum,JJ,__UNDEF__,+,1,1.345377
hue,NN,__UNDEF__,+,1,1.345377
10.vi,Z,__UNDEF__,+,1,1.345377
broke,__UNDEF__,__UNDEF__,+,1,1.345377
magnitude,NN,__UNDEF__,+,1,1.345377
"""Fourteen!",__UNDEF__,__UNDEF__,+,1,1.345377
Initially,RB,__UNDEF__,+,1,1.345377
continents,NNS,__UNDEF__,+,1,1.345377
honorable,JJ,__UNDEF__,+,1,1.345377
buckets.,__UNDEF__,__UNDEF__,+,1,1.345377
Timmy,NP,__UNDEF__,+,1,1.345377
lumbago,__UNDEF__,__UNDEF__,+,1,1.345377
rung,NN,__UNDEF__,+,1,1.345377
MYSELF,NP,__UNDEF__,+,1,1.345377
tripping,VBG,__UNDEF__,+,1,1.345377
apply,VBP,__UNDEF__,+,1,1.345377
"'Sweetie-Pie,'",__UNDEF__,__UNDEF__,+,1,1.345377
disappointedly,RB,__UNDEF__,+,1,1.345377
coquettishness,NN,__UNDEF__,+,1,1.345377
micro-managing,__UNDEF__,__UNDEF__,+,1,1.345377
Silently,RB,__UNDEF__,+,1,1.345377
refreshed,VBD,__UNDEF__,+,1,1.345377
Princess_Carolyne_Sayn-Wittgenstein,NP,__UNDEF__,+,1,1.345377
attaching,VBG,__UNDEF__,+,1,1.345377
squelching,VBG,__UNDEF__,+,1,1.345377
entertained,VBN,__UNDEF__,+,1,1.345377
smoke-house,NN,__UNDEF__,+,1,1.345377
last_Friday,W,__UNDEF__,+,1,1.345377
Killed,VBD,__UNDEF__,+,1,1.345377
dazed,VBD,__UNDEF__,+,1,1.345377
"March_29_,_1944",W,__UNDEF__,+,1,1.345377
long-tailed,JJ,__UNDEF__,+,1,1.345377
intern,__UNDEF__,__UNDEF__,+,1,1.345377
unplaceable,JJ,__UNDEF__,+,1,1.345377
"""Try",__UNDEF__,__UNDEF__,+,1,1.345377
does.',__UNDEF__,__UNDEF__,+,1,1.345377
shit,VB,__UNDEF__,+,1,1.345377
bunny,NN,__UNDEF__,+,1,1.345377
Stortorget,NP,__UNDEF__,+,1,1.345377
scamp,NN,__UNDEF__,+,1,1.345377
plaything,NN,__UNDEF__,+,1,1.345377
aspirins,__UNDEF__,__UNDEF__,+,1,1.345377
shop,VB,__UNDEF__,+,1,1.345377
"ex-soldier!""",__UNDEF__,__UNDEF__,+,1,1.345377
"""All",__UNDEF__,__UNDEF__,+,1,1.345377
two_kilometres,Zu,__UNDEF__,+,1,1.345377
dipped,VBN,__UNDEF__,+,1,1.345377
"September_11_,_1944",W,__UNDEF__,+,1,1.345377
Scharminkeltje,NP,__UNDEF__,+,1,1.345377
digesting,VBG,__UNDEF__,+,1,1.345377
substituted,VBN,__UNDEF__,+,1,1.345377
communion,NN,__UNDEF__,+,1,1.345377
sessions,NNS,__UNDEF__,+,1,1.345377
London_'s_FINANCIAL_TIMES,NP,__UNDEF__,+,1,1.345377
outhouse,NN,__UNDEF__,+,1,1.345377
"Tuesday_,_March_twenty-ninth",W,__UNDEF__,+,1,1.345377
Ursula,NP,__UNDEF__,+,1,1.345377
footnotes,NNS,__UNDEF__,+,1,1.345377
"commemorated,",__UNDEF__,__UNDEF__,+,1,1.345377
advised,__UNDEF__,__UNDEF__,+,1,1.345377
ladies,__UNDEF__,__UNDEF__,+,1,1.345377
Cost,NN,__UNDEF__,+,1,1.345377
T.C.O.,NP,__UNDEF__,+,1,1.345377
tragedies,NNS,__UNDEF__,+,1,1.345377
Buddy,NN,__UNDEF__,+,1,1.345377
entertained,__UNDEF__,__UNDEF__,+,1,1.345377
Japheth,NP,__UNDEF__,+,1,1.345377
brother,__UNDEF__,__UNDEF__,+,1,1.345377
Prices_Down,NP,__UNDEF__,+,1,1.345377
THE_MAFIA_BANKER,NP,__UNDEF__,+,1,1.345377
"THURSDAY_,_MARCH_4_,_1943",W,__UNDEF__,+,1,1.345377
Queen,__UNDEF__,__UNDEF__,+,1,1.345377
riveted,VBN,__UNDEF__,+,1,1.345377
Friday_night,W,__UNDEF__,+,1,1.345377
National_Board_of_Health,NP,__UNDEF__,+,1,1.345377
Santiago,NP,__UNDEF__,+,1,1.345377
Ingrid_Bergman,NP,__UNDEF__,+,1,1.345377
pit,__UNDEF__,__UNDEF__,+,1,1.345377
squeaking,__UNDEF__,__UNDEF__,+,1,1.345377
across,__UNDEF__,__UNDEF__,+,1,1.345377
Mats.,__UNDEF__,__UNDEF__,+,1,1.345377
Dusk,NN,__UNDEF__,+,1,1.345377
MADAME.,__UNDEF__,__UNDEF__,+,1,1.345377
Halfweg,NP,__UNDEF__,+,1,1.345377
Two,__UNDEF__,__UNDEF__,+,1,1.345377
rinsed,VBN,__UNDEF__,+,1,1.345377
comb,VB,__UNDEF__,+,1,1.345377
agility,NN,__UNDEF__,+,1,1.345377
11.14,Z,__UNDEF__,+,1,1.345377
skwuffling,NN,__UNDEF__,+,1,1.345377
